S NO,NAME,City,Location,Location-href,Website,Cuisines,Price range,Review,Tot_review
8.0,fusion Bay,Ernakulam,"Fortcochin K B Jacob Road Kunnumpuram Junction, Kochi (Cochin) 682001 India","https://maps.google.com/maps?saddr=&daddr=Fortcochin+K+B+Jacob+Road+Kunnumpuram+Junction%2C+Kochi+%28Cochin%29+682001+India@9.965431,76.24367",http://www.facebook.com/fusionbayrestaurant,"Indian, Seafood, Asian, Fusion",₹70 - ₹450,4.5,"1,197 reviews"
9.0,Oceanos Restaurant,Ernakulam,"Elphinstone Road, Near Bishop House Fort Kochi, Kochi (Cochin) 682001 India","https://maps.google.com/maps?saddr=&daddr=Elphinstone+Road%2C+Near+Bishop+House+Fort+Kochi%2C+Kochi+%28Cochin%29+682001+India@9.963146,76.23909",http://www.oceanosrestaurants.com/,"Indian, Seafood, Asian, Portuguese",₹249 - ₹831,4.5,"1,651 reviews"
10.0,Fort House Restaurant,Ernakulam,"2/6a Calvathy Road Fort House Hotel, Kochi (Cochin) 682001 India","https://maps.google.com/maps?saddr=&daddr=2%2F6a+Calvathy+Road+Fort+House+Hotel%2C+Kochi+%28Cochin%29+682001+India@9.969219,76.249695",http://www.hotelforthouse.com/,1.0,2.0,4.5,489 reviews
3.0,Kashi,Ernakulam,"Burgher Street Fort Kochi, Kochi (Cochin) 682001 India","https://maps.google.com/maps?saddr=&daddr=Burgher+Street+Fort+Kochi%2C+Kochi+%28Cochin%29+682001+India@9.966712,76.24319",http://www.kashiartgallery.com/cafe/,"Vegetarian Friendly, Vegan Options, Gluten Free Options","₹665 - ₹2,494",4.5,"1,696 reviews"
4.0,Canvas Restaurant & Pizzeria,Ernakulam,"Vadathazha Road, Fort Kochi, Kochi (Cochin) 682001 India","https://maps.google.com/maps?saddr=&daddr=Vadathazha+Road%2C+Fort+Kochi%2C+Kochi+%28Cochin%29+682001+India@9.963091,76.241165",5.0,"Italian, Neapolitan, Campania, Southern-Italian, Pizza",₹120 - ₹700,5.0,65 reviews
6.0,Dhe Puttu,Ernakulam,"Nh 47 Service Road Between Lulu and Oberon, Kochi (Cochin) 682024 India","https://maps.google.com/maps?saddr=&daddr=Nh+47+Service+Road+Between+Lulu+and+Oberon%2C+Kochi+%28Cochin%29+682024+India@10.020644,76.31069",http://www.dheputtu.com/,"Indian, Asian, Healthy",₹150 - ₹250,4.5,752 reviews
7.0,Old Harbour Hotel Restaurant,Ernakulam,"1/328 Tower Road Old Harbour Hotel, Kochi (Cochin) 682001 India","https://maps.google.com/maps?saddr=&daddr=1%2F328+Tower+Road+Old+Harbour+Hotel%2C+Kochi+%28Cochin%29+682001+India@9.96713,76.24345",http://www.oldharbourhotel.com/eng/oldharbour_restaurant.html,"Vegetarian Friendly, Vegan Options, Gluten Free Options","₹665 - ₹2,494",4.5,794 reviews
8.0,Mary’s Kitchen,Ernakulam,"I/894, Kb Jacob Road, Kochi (Cochin) India","https://maps.google.com/maps?saddr=&daddr=I%2F894%2C+Kb+Jacob+Road%2C+Kochi+%28Cochin%29+India@9.964711,76.243164",https://www.facebook.com/MarysKitchenFortKochi/,"Vegetarian Friendly, Vegan Options, Gluten Free Options","₹600 - ₹2,495",4.5,460 reviews
9.0,The Asian Kitchen by Tokyo Bay,Ernakulam,"St. Francis Church Rd Cochin Club, Opp Parade Ground, Kochi (Cochin) 682001 India","https://maps.google.com/maps?saddr=&daddr=St.+Francis+Church+Rd+Cochin+Club%2C+Opp+Parade+Ground%2C+Kochi+%28Cochin%29+682001+India@9.965566,76.23986",http://www.asiankitchen.in/,"Vegetarian Friendly, Vegan Options, Gluten Free Options",₹80 - ₹2300,4.5,414 reviews
10.0,Warehouse Cafe & Restaurant,Ernakulam,"1/334 Rose Street Fort Cochin, Kochi (Cochin) 682001 India","https://maps.google.com/maps?saddr=&daddr=1%2F334+Rose+Street+Fort+Cochin%2C+Kochi+%28Cochin%29+682001+India@9.96672,76.2418",http://www.hotelrositta.com/,"Indian, Asian, Healthy","₹665 - ₹2,497",4.5,362 reviews
1.0,Deli KC,Ernakulam,"33/1739 a, NH Bypass Road, Vennala Holiday Inn, Kochi (Cochin) India","https://maps.google.com/maps?saddr=&daddr=33%2F1739+a%2C+NH+Bypass+Road%2C+Vennala+Holiday+Inn%2C+Kochi+%28Cochin%29+India@9.991066,76.31568",http://www.ihg.com/holidayinn/hotels/us/en/cochin/coker/hoteldetail/dining#subpage-content,"Vegetarian Friendly, Vegan Options, Gluten Free Options","₹665 - ₹2,498",5.0,98 reviews
2.0,Rasoi Fort Kochi,Ernakulam,"Rose Street Next to St Francis Church, Kochi (Cochin) 682001 India","https://maps.google.com/maps?saddr=&daddr=Rose+Street+Next+to+St+Francis+Church%2C+Kochi+%28Cochin%29+682001+India@9.966188,76.241615",https://rasoifortkochi.business.site/,"Indian, Asian, Healthy","₹665 - ₹2,499",5.0,401 reviews
3.0,The Rice Boat,Ernakulam,"Willingdon Island Taj Malabar Resort & Spa, Cochin, Kochi (Cochin) 682009 India","https://maps.google.com/maps?saddr=&daddr=Willingdon+Island+Taj+Malabar+Resort+%26+Spa%2C+Cochin%2C+Kochi+%28Cochin%29+682009+India@9.968546,76.25765",http://www.tajhotels.com/en-in/taj/taj-malabar-cochin/restaurants/the-rice-boat-restaurant/?utm_source=Google&utm_Campaign=taj-malabar-cochin-the-rice-boat-restaurant-reservation&utm_medium=Local,"Indian, Asian, Healthy","₹665 - ₹2,500",4.5,308 reviews
4.0,Boche Toddy Pub,Ernakulam,"Manattuparambu , Nayarambalam Panchayathu, Kochi (Cochin) 682509 India","https://maps.google.com/maps?saddr=&daddr=Manattuparambu+%2C+Nayarambalam+Panchayathu%2C+Kochi+%28Cochin%29+682509+India@10.052305,76.2129",http://www.bochetoddypub.com/,"Indian, Asian, Healthy","₹665 - ₹2,501",4.5,260 reviews
5.0,Ciao Cochin,Ernakulam,"Service Road Holiday Inn Cochin, Kochi (Cochin) 682028 India","https://maps.google.com/maps?saddr=&daddr=Service+Road+Holiday+Inn+Cochin%2C+Kochi+%28Cochin%29+682028+India@9.990147,76.31576",https://www.ihg.com/holidayinn/hotels/us/en/cochin/coker/hoteldetail/dining,"Italian, Pizza, European","₹665 - ₹2,494",5.0,294 reviews
6.0,Restarant Chef Pillai,Ernakulam,"Nettoor Le Meridien, Maradu, Kochi (Cochin) 682304 India","https://maps.google.com/maps?saddr=&daddr=Nettoor+Le+Meridien%2C+Maradu%2C+Kochi+%28Cochin%29+682304+India@9.933796,76.31645",https://www.facebook.com/Restaurant-Chef-Pillai-106752091702186/,"Lunch, Dinner",7.0,4.5,195 reviews
8.0,Tharavadu Restaurant by Casino hotel,Ernakulam,"Casino Hotel Willingdon island, Kochi (Cochin) 682003 India","https://maps.google.com/maps?saddr=&daddr=Casino+Hotel+Willingdon+island%2C+Kochi+%28Cochin%29+682003+India@9.961285,76.26887",http://www.cghearth.com/casino-hotel/dining,"Chinese, Indian, Asian, International","₹450 - ₹1,000",5.0,326 reviews
9.0,Fort Kochi Seafood Restaurant,Ernakulam,"Willingdon Island Casino Hotel, Kochi (Cochin) 682003 India","https://maps.google.com/maps?saddr=&daddr=Willingdon+Island+Casino+Hotel%2C+Kochi+%28Cochin%29+682003+India@9.961589,76.2693",http://www.cghearth.com/casino-hotel/dining,"Indian, Seafood",₹416 - ₹831,4.5,278 reviews
10.0,Cassava,Ernakulam,"34/1111 National Highway 47 Lulu International Shopping Mall, Marriott Hotel, Kochi (Cochin) 682024 India","https://maps.google.com/maps?saddr=&daddr=34%2F1111+National+Highway+47+Lulu+International+Shopping+Mall%2C+Marriott+Hotel%2C+Kochi+%28Cochin%29+682024+India@10.029101,76.30769",http://www.marriott.com/hotels/hotel-information/restaurant/cokmc-kochi-marriott-hotel,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","₹500 - ₹3,000",5.0,420 reviews
1.0,Masala,Ernakulam,"No.33/1739-A, Junction, National Highway Bypass, Chakkaraparambu, Vennala Holiday Inn Cochin, Kochi (Cochin) 682028 India","https://maps.google.com/maps?saddr=&daddr=No.33%2F1739-A%2C+Junction%2C+National+Highway+Bypass%2C+Chakkaraparambu%2C+Vennala+Holiday+Inn+Cochin%2C+Kochi+%28Cochin%29+682028+India@9.990307,76.3159",http://www.holidayinn.com/hotels/us/en/cochin/coker/hoteldetail/dining,2.0,3.0,5.0,734 reviews
