S NO,NAME,City,Location,Location-href,Website,Cuisines,Price range,Review,Tot_review
3.0,Copper Chimney,Kannur,"S.N Park Road Blue Nile Hotel, Kannur 670001 India","https://maps.google.com/maps?saddr=&daddr=S.N+Park+Road+Blue+Nile+Hotel%2C+Kannur+670001+India@11.8717,75.35988",http://www.hotelbluenile.com/,Reservations,4.0,4.0,8 reviews
5.0,Five Star Chicken,Kannur,6.0,7.0,8.0,"Chinese, Indian,American",₹200 - ₹6000,4.5,7 reviews
9.0,Aquarius,Kannur,10.0,1.0,2.0,"Vegetarian Friendly,Indian, Asian",3.0,3.5,13 reviews
4.0,Anandha Bhavan,Kannur,5.0,6.0,7.0,Indian,₹3000 - ₹6000,5.0,3 reviews
8.0,Continental - Restaurant and Fine Dining,Kannur,9.0,10.0,1.0,"Chinese, Indian, Seafood, Fast food",₹59 - ₹500,5.0,3 reviews
2.0,Rara Avis,Kannur,3.0,4.0,5.0,"Halal, Vegetarian Friendly",₹300 - ₹600,3.5,32 reviews
6.0,Grand Plaza Restaurent,Kannur,7.0,8.0,9.0,"Breakfast, Lunch, Dinner,Indian, Healthy",10.0,4.0,8 reviews
1.0,Mascot Beach - Mermaid,Kannur,2.0,3.0,4.0,"Reservations, Seating, Wheelchair Accessible, Table Service",5.0,4.0,13 reviews
6.0,Indian Coffee House,Kannur,7.0,8.0,9.0,Asian,10.0,4.5,5 reviews
1.0,Chembaka Restaurent,Kannur,2.0,3.0,4.0,"Breakfast, Lunch, Dinner, Brunch",₹200- ₹600,5.0,3 reviews
5.0,Chembaka Restaurent,Kannur,6.0,7.0,8.0,"Breakfast, Lunch, Dinner, Brunch, After-hours",₹20 - ₹600,5.0,2 reviews
9.0,Chikeys,Kannur,10.0,1.0,2.0,"Italian, Steakhouse, Pizza, Barbecue, Grill",₹4 - ₹300,5.0,4 reviews
3.0,Onakkan Bharathi,Kannur,4.0,5.0,6.0,Breakfast,7.0,4.0,11 reviews
8.0,Prema Cafe,Kannur,9.0,10.0,1.0,"Seafood, Diner, Street Food",2.0,4.5,6 reviews
3.0,Barka Restaurant,Kannur,4.0,5.0,6.0,"Chinese, Indian, Arabic",₹70 - ₹430,4.0,4 reviews
7.0,Surya Residency Restaurant,Kannur,8.0,9.0,10.0,Vegetarian Friendly,"₹30 - ₹1,00",3.5,37 reviews
1.0,Hurry Berry,Kannur,2.0,3.0,4.0,"Cafe, Fast food","₹800 - ₹1,090",4.5,6 reviews
5.0,MVK travellers Restaurant,Kannur,6.0,7.0,8.0,"Dinner, Lunch","₹30 - ₹1,00",4.0,12 reviews
9.0,Kaippunyam,Kannur,10.0,1.0,2.0,Vegetarian Friendly,"₹30 - ₹1,00",4.0,15 reviews
3.0,Appoos,Kannur,4.0,5.0,6.0,"Indian, Seafood, Asian","₹300 - ₹6,000",4.5,10 reviews
7.0,Your Choice Restaurant,Kannur,8.0,9.0,10.0,"Chinese, Indian",₹100 - ₹500,4.0,23 reviews
1.0,Hotel Soft,Kannur,2.0,3.0,4.0,"Halal,Indian",5.0,4.0,22 reviews
6.0,Nawabz,Kannur,7.0,8.0,9.0,"Chinese, Indian, Arabic","₹100 - ₹1,200",5.0,7 reviews
10.0,Quality Vegetarian Restaurant,Kannur,1.0,2.0,3.0,"Breakfast, Dinner, Brunch",4.0,4.5,13 reviews
5.0,Cool Land,Kannur,6.0,7.0,8.0,"Vegetarian Friendly, Halal",9.0,4.5,16 reviews
10.0,Wheat House,Kannur,1.0,2.0,3.0,Vegetarian Friendly,"₹30 - ₹1,000",4.0,31 reviews
4.0,Capane Bamboo,Kannur,5.0,6.0,7.0,Vegetarian Friendly,8.0,4.0,61 reviews
9.0,AJWA Biryani Restaurant,Kannur,10.0,1.0,2.0,Halal,₹3000 - ₹8000,4.5,15 reviews
3.0,Casa Rasa Restaurant,Kannur,4.0,5.0,6.0,"Chinese, Indian, Arabic","₹10 - ₹1,200",4.5,20 reviews
7.0,Chifonets,Kannur,8.0,9.0,10.0,"Chinese, Asian, Indian",₹166 - ₹499,4.0,47 reviews
1.0,Anansa by The Kannur Club,Kannur,2.0,3.0,4.0,"Italian, Chinese, Indian","₹300 - ₹1,000",5.0,8 reviews
5.0,Indian Coffee House,Kannur,6.0,7.0,8.0,"Vegetarian Friendly, Vegan Options",A,4.0,84 reviews
9.0,Rainbow Rasoi,Kannur,10.0,1.0,2.0,"Indian, Asian, Middle Eastern","₹50 - ₹5,000",4.5,29 reviews
3.0,Pepperpot Restaurant,Kannur,4.0,5.0,6.0,"Asian, Chinese, Indian",₹80 - ₹400,4.5,31 reviews
7.0,MRA Bakery and restaurant,Kannur,8.0,9.0,10.0,"Vegan Options, Halal, Vegetarian Friendly",1.0,4.0,136 reviews
2.0,Raandhal,Kannur,3.0,4.0,5.0,"Vegan Options, Halal, Vegetarian Friendly",6.0,4.0,227 reviews
7.0,MVK Restaurant,Kannur,8.0,9.0,10.0,"Vegetarian Friendly, Halal",1.0,4.0,130 reviews
2.0,Sahib's Grill Kitchen,Kannur,3.0,4.0,5.0,"Vegetarian Friendly, Vegan Options",₹180 - ₹540,4.5,167 reviews
6.0,Hotel Odhens,Kannur,7.0,8.0,9.0,Halal,10.0,4.5,199 reviews
1.0,Ruchi,Kozhikode,2.0,3.0,4.0,Reservations,₹90 - ₹601,4.0,8 reviews
5.0,Aalibhai's Pantheeramkavu,Kozhikode,6.0,7.0,8.0,"₹6 - ₹1,200",₹100 - ₹602,4.0,19 reviews
9.0,Nother Fine Day Cafe,Kozhikode,10.0,1.0,2.0,Cafe,₹890 - ₹9000,5.0,4 reviews
3.0,Level 4 Restaurant,Kozhikode,"Pavamani Road Medora Hotel, Kozhikode 673004 India","https://maps.google.com/maps?saddr=&daddr=Pavamani+Road+Medora+Hotel%2C+Kozhikode+673004+India@11.255444,75.785934",http://www.medorahotels.in/,₹100 - ₹800,₹900 - ₹8909,4.0,14 reviews
4.0,7 Seas Multi Cuisine Restaurant,Kozhikode,"Y M C a Cross Road, Kozhikode 673001 India","https://maps.google.com/maps?saddr=&daddr=Y+M+C+a+Cross+Road%2C+Kozhikode+673001+India@11.26068,75.7787",http://www.marinaresidency.com/,"Indian, Chinese, International, Asian, Thai",₹210 - ₹6000,4.0,23 reviews
5.0,Cafiya Restaurant,Kozhikode,"Pantheerankavu Bypass Junction, Kozhikode 673019 India","https://maps.google.com/maps?saddr=&daddr=Pantheerankavu+Bypass+Junction%2C+Kozhikode+673019+India@11.23069,75.85186",6.0,"Breakfast, Lunch, Dinner",₹40 - ₹690,4.5,8 reviews
7.0,Shine Restaurant,Kozhikode,"Adivaram Nh 212, Kozhikode 673586 India","https://maps.google.com/maps?saddr=&daddr=Adivaram+Nh+212%2C+Kozhikode+673586+India@11.27577,75.77887",8.0,"Chinese, Indian, International, Asian, Middle Eastern",₹990 - ₹3000,4.5,12 reviews
9.0,Kadalas Cafe,Kozhikode,10.0,1.0,2.0,₹50 - ₹600,₹560 - ₹4090,4.0,9 reviews
3.0,Al Baik Restaurant,Kozhikode,4.0,5.0,6.0,Dinner,₹40 - ₹3890,4.0,12 reviews
7.0,Club Sulaimani,Kozhikode,8.0,9.0,10.0,₹10 - ₹300,₹780 - ₹4789,4.5,8 reviews
1.0,Hotel New Amar,Kozhikode,"I G Road Opposite Mofussil Bus Stand, Kozhikode 673004 India","https://maps.google.com/maps?saddr=&daddr=I+G+Road+Opposite+Mofussil+Bus+Stand%2C+Kozhikode+673004+India@11.25941,75.78709",2.0,Halal,₹1000 - ₹4567,4.0,12 reviews
3.0,"Raha, The Restaurant",Kozhikode,"Mini bypass road, Opposite Aster MIMS, Govindapuram,, Kozhikode 673016 India","https://maps.google.com/maps?saddr=&daddr=Mini+bypass+road%2C+Opposite+Aster+MIMS%2C+Govindapuram%2C%2C+Kozhikode+673016+India@11.24977,75.79834",4.0,"Indian, Fusion, Arabic",₹20 - ₹600,4.5,7 reviews
5.0,Arabian Dine's Family Restaurant,Kozhikode,6.0,7.0,8.0,"Indian, Asian, Middle Eastern",₹70 - ₹601,4.0,15 reviews
9.0,Kingsbay Express,Kozhikode,"NH-Bypass Near Mampuzha Bridge, Pantheerankavu, Kozhikode 673019 India","https://maps.google.com/maps?saddr=&daddr=NH-Bypass+Near+Mampuzha+Bridge%2C+Pantheerankavu%2C+Kozhikode+673019+India@11.23608,75.84438",http://kingsbay.co/,₹150 - ₹450,10.0,4.0,19 reviews
1.0,Komalabhavan Hotel Restaurant,Kozhikode,"Mele Palayam Near V N M Gold, Chalapuram, Kozhikode 673002 India","https://maps.google.com/maps?saddr=&daddr=Mele+Palayam+Near+V+N+M+Gold%2C+Chalapuram%2C+Kozhikode+673002+India@11.24881,75.78277",2.0,3.0,₹90 - ₹1234,4.5,10 reviews
4.0,Mezban Express,Kozhikode,"Near Mims Hospital Mini Bypass, Kozhikode 673016 India","https://maps.google.com/maps?saddr=&daddr=Near+Mims+Hospital+Mini+Bypass%2C+Kozhikode+673016+India@11.24977,75.79834",5.0,"Indian, Chinese",₹80 - ₹3456,4.0,15 reviews
6.0,"House Of Sparrows,the cafe",Kozhikode,"Gujarati Street, Kozhikode 673001 India","https://maps.google.com/maps?saddr=&daddr=Gujarati+Street%2C+Kozhikode+673001+India@11.24711,75.773766",7.0,"Cafe, International",8.0,4.0,12 reviews
9.0,Shalimar Restaurant,Kozhikode,"calicut -wayanad NH road Engapuza, Opposite HP Petrol Pump, Kozhikode 673586 India","https://maps.google.com/maps?saddr=&daddr=calicut+-wayanad+NH+road+Engapuza%2C+Opposite+HP+Petrol+Pump%2C+Kozhikode+673586+India@11.463296,75.969124",http://bavas-hotel-shalimar.business.site/,₹10 - ₹999,₹80 - ₹8900,4.5,10 reviews
10.0,Bun Club,Kozhikode,"Wayanad Road Veepees Space, Eranhipalam, Kozhikode India","https://maps.google.com/maps?saddr=&daddr=Wayanad+Road+Veepees+Space%2C+Eranhipalam%2C+Kozhikode+India@11.2928,75.8239",http://www.bunclub.com/,"Italian, European",₹2330 - ₹8907,4.5,12 reviews
1.0,Sandwich Shoppe,Kozhikode,"Red Cross Road Red Cross Road, Kozhikode 673001 India","https://maps.google.com/maps?saddr=&daddr=Red+Cross+Road+Red+Cross+Road%2C+Kozhikode+673001+India@11.25686,75.78021",2.0,Fast food,₹690 - ₹5678,4.0,17 reviews
3.0,Hotel Omkara - The Premium Veg,Kozhikode,"Ram Mohan Road inside Hotel Omkara, Kozhikode 673004 India","https://maps.google.com/maps?saddr=&daddr=Ram+Mohan+Road+inside+Hotel+Omkara%2C+Kozhikode+673004+India@11.253224,75.7869",https://hotel-omkara-the-premium-veg.business.site/,₹50 - ₹800,₹56 - ₹3456,4.5,6 reviews
4.0,The Light House,Kozhikode,"Thondayad Bypass Road Metro Cardiac Hospital, Kozhikode 673014 India","https://maps.google.com/maps?saddr=&daddr=Thondayad+Bypass+Road+Metro+Cardiac+Hospital%2C+Kozhikode+673014+India@11.245544,75.837036",http://www.facebook.com/tlhcalicut,"₹250 - ₹1,000",₹568 - ₹3459,3.5,61 reviews
5.0,Kozhikodan Oottupura,Kozhikode,"Mini Byepass Road, Kozhikode 673016 India","https://maps.google.com/maps?saddr=&daddr=Mini+Byepass+Road%2C+Kozhikode+673016+India@11.24977,75.79834",6.0,Vegetarian Friendly,₹897 - ₹9000,4.5,11 reviews
7.0,Calicut Tower Mas Restaurant,Kozhikode,"Mavoor Road Calicut Tower Mavoor Road Markaz Complex, Calicut Tower, Indira Gandhi Road, Opposite Private Bus Stand, Kozhikode 673004 India","https://maps.google.com/maps?saddr=&daddr=Mavoor+Road+Calicut+Tower+Mavoor+Road+Markaz+Complex%2C+Calicut+Tower%2C+Indira+Gandhi+Road%2C+Opposite+Private+Bus+Stand%2C+Kozhikode+673004+India@11.25941,75.78709",http://www.calicutower.com/,"Indian, Asian",₹56 - ₹8909,3.5,29 reviews
8.0,Pillai's Snacks,Kozhikode,"Kallai Road, Kozhikode 673002 India","https://maps.google.com/maps?saddr=&daddr=Kallai+Road%2C+Kozhikode+673002+India@11.2464,75.78468",http://www.shopatkerala.com/,Indian,₹78 - ₹789,4.0,24 reviews
9.0,Happy cup,Kozhikode,"Railway Station Link Road Hotel Saas Residency, Kozhikode 673001 India","https://maps.google.com/maps?saddr=&daddr=Railway+Station+Link+Road+Hotel+Saas+Residency%2C+Kozhikode+673001+India@11.24864,75.78078",https://www.facebook.com/happycupcafe/,Cafe,₹50 - ₹1000,5.0,7 reviews
10.0,Garam - Just Grilled,Kozhikode,"NH 17 Calicut Bypass Road, Azhinjilam P.O , Malappuram District, Kozhikode 673632 India","https://maps.google.com/maps?saddr=&daddr=NH+17+Calicut+Bypass+Road%2C+Azhinjilam+P.O+%2C+Malappuram+District%2C+Kozhikode+673632+India@11.204555,75.86704",http://www.theraviz.com/,"₹1,000 - ₹2,000",₹500 - ₹3214,4.5,12 reviews
1.0,Taaza Restaurant,Kozhikode,"Near IIMK, Kozhikode 673571 India","https://maps.google.com/maps?saddr=&daddr=Near+IIMK%2C+Kozhikode+673571+India@11.303558,75.87464",https://www.facebook.com/taazarestaurant/,"Indian, Asian, Middle Eastern, Chinese",₹356 - ₹7000,4.0,26 reviews
2.0,Adaminte Chayakkada,Kozhikode,"Corporation Office Road Opposite Corporation Office, Kozhikode 673032 India","https://maps.google.com/maps?saddr=&daddr=Corporation+Office+Road+Opposite+Corporation+Office%2C+Kozhikode+673032+India@11.254268,75.77187",http://www.ackd.in/,"Indian, Asian",₹1000 - ₹7865,3.5,98 reviews
3.0,The Chinese Factory,Kozhikode,"32 Silk Street, Kozhikode 673001 India","https://maps.google.com/maps?saddr=&daddr=32+Silk+Street%2C+Kozhikode+673001+India@11.25305,75.77291",4.0,"Chinese, Asian",₹100 - ₹3900,4.0,12 reviews
5.0,Zam Zam Restaurant,Kozhikode,"R C Road Doha Complex, Opp Tagore Hall, Kozhikode, Kallai, Kozhikode 673032 India","https://maps.google.com/maps?saddr=&daddr=R+C+Road+Doha+Complex%2C+Opp+Tagore+Hall%2C+Kozhikode%2C+Kallai%2C+Kozhikode+673032+India@11.256296,75.77403",http://www.zamzamrestaurants.com/,"Indian, Fast food",₹80 - ₹8970,4.0,51 reviews
6.0,Grains Restaurant,Kozhikode,"Paloramala junction, Kozhikode India","https://maps.google.com/maps?saddr=&daddr=Paloramala+junction%2C+Kozhikode+India@11.347321,75.754974",7.0,Indian,₹900 - ₹5674,4.5,9 reviews
8.0,Kalanthans Cool Bar,Kozhikode,"SM Street, Palayam, Kozhikode 673001 India","https://maps.google.com/maps?saddr=&daddr=SM+Street%2C+Palayam%2C+Kozhikode+673001+India@11.25085,75.78157",9.0,10.0,₹780 - ₹3567,4.5,14 reviews
1.0,Burger lounge,Kozhikode,"Silk Street Calicut, Kozhikode 673032 India","https://maps.google.com/maps?saddr=&daddr=Silk+Street+Calicut%2C+Kozhikode+673032+India@11.253541,75.77267",https://www.facebook.com/Burger-Lounge-1231199136913450/,₹40 - ₹130,₹900 - ₹5000,4.0,35 reviews
2.0,GOLI VADA PAV NO.1,Kozhikode,"RC Road Kjs Complex, Opp to Tagore Hall, Kozhikode 673032 India","https://maps.google.com/maps?saddr=&daddr=RC+Road+Kjs+Complex%2C+Opp+to+Tagore+Hall%2C+Kozhikode+673032+India@11.25617,75.77335",3.0,"Indian, Fast food",₹230 - ₹7865,4.5,20 reviews
4.0,Dakshin The Veg,Kozhikode,"1743 Mahoor Road Opposite National Hospital, Mavoor, Kozhikode 673661 India","https://maps.google.com/maps?saddr=&daddr=1743+Mahoor+Road+Opposite+National+Hospital%2C+Mavoor%2C+Kozhikode+673661+India@11.26132,75.91401",5.0,"Indian, Asian",₹20 - ₹4000,3.5,81 reviews
6.0,Dr. Cafe,Kozhikode,"Mavoor Road Velliparamba, Kozhikode 673008 India","https://maps.google.com/maps?saddr=&daddr=Mavoor+Road+Velliparamba%2C+Kozhikode+673008+India@11.269792,75.84378",https://www.facebook.com/DrCafe-1183523911777667/,"Pizza, Cafe, Spanish, Contemporary, Healthy",₹670 - ₹5666,4.5,14 reviews
7.0,Cape Comorin,Kozhikode,"P T Usha Road The Gateway Hotel Calicut, Kozhikode 673032 India","https://maps.google.com/maps?saddr=&daddr=P+T+Usha+Road+The+Gateway+Hotel+Calicut%2C+Kozhikode+673032+India@11.258941,75.77361",http://gateway.tajhotels.com/en-in/beach-road-calicut/restaurants/cape-comorin/,"₹500 - ₹1,300",₹450 - ₹800,4.5,18 reviews
8.0,Hotel Sagar,Kozhikode,"Sagar Mavoor Road Near KSRTC Bus Stand, Kozhikode 673004 India","https://maps.google.com/maps?saddr=&daddr=Sagar+Mavoor+Road+Near+KSRTC+Bus+Stand%2C+Kozhikode+673004+India@11.25941,75.78709",http://www.calicutsagar.com/,"Chinese, Indian, Asian",₹80 - ₹900,4.0,72 reviews
9.0,Sixth Avenue Cafe,Kozhikode,"PT Usha Road Baby Arcade Bldg, Near the Gateway Hotel, Kozhikode India","https://maps.google.com/maps?saddr=&daddr=PT+Usha+Road+Baby+Arcade+Bldg%2C+Near+the+Gateway+Hotel%2C+Kozhikode+India@11.258379,75.774956",http://www.facebook.com/6thavenuecafe,Cafe,₹90 - ₹129,4.0,55 reviews
10.0,Pentacuisine Restaurant,Kozhikode,"Mavoor Road, Pottammal, Calicut Opp. Kalyan Silks, Kozhikode 673016 India","https://maps.google.com/maps?saddr=&daddr=Mavoor+Road%2C+Pottammal%2C+Calicut+Opp.+Kalyan+Silks%2C+Kozhikode+673016+India@11.259497,75.80669",http://pentacuisine.com/,₹50 - ₹350,₹670 - ₹900,5.0,12 reviews
1.0,Sri Venkatesh Lunch Home,Kozhikode,"Near Old Corporation Office, Near Gandhi Statue, Kozhikode 673032 India","https://maps.google.com/maps?saddr=&daddr=Near+Old+Corporation+Office%2C+Near+Gandhi+Statue%2C+Kozhikode+673032+India@11.25433,75.77215",https://www.facebook.com/srivenkateshlunchhome/,₹35 - ₹85,₹340 - ₹800,4.5,33 reviews
2.0,Punjab Di Rasoi,Kozhikode,"Corporation Office Road, Kozhikode 673032 India","https://maps.google.com/maps?saddr=&daddr=Corporation+Office+Road%2C+Kozhikode+673032+India@11.25542,75.77248",3.0,"Indian, Asian",₹90 - ₹900,4.0,73 reviews
4.0,Sagar Restaurant,Kozhikode,"Mavoor Road Nr Mofussil Bus Stand, Arayedathu Palam, Puthiyara, Kozhikode 673004 India","https://maps.google.com/maps?saddr=&daddr=Mavoor+Road+Nr+Mofussil+Bus+Stand%2C+Arayedathu+Palam%2C+Puthiyara%2C+Kozhikode+673004+India@11.25941,75.78709",http://www.facebook.com/calicutsagar/,"Indian, Asian",₹900 - ₹809,3.5,133 reviews
5.0,Salkara Restaurant,Kozhikode,"East Nadakkavu Behind Bus Stop, Kozhikode 673001 India","https://maps.google.com/maps?saddr=&daddr=East+Nadakkavu+Behind+Bus+Stop%2C+Kozhikode+673001+India@11.27271,75.77781",http://www.salkara.com/,"Indian, Asian",₹120 - ₹234,4.0,83 reviews
6.0,Cafe Mavoor,Kozhikode,7.0,8.0,9.0,₹200 - ₹650,₹40 - ₹609,4.5,14 reviews
10.0,Aryabhavan Restaurant,Kozhikode,1.0,2.0,3.0,"Indian, Asian",₹10 - ₹500,4.0,52 reviews
4.0,Topform Restaurant,Kozhikode,5.0,6.0,7.0,"Indian, Asian",₹70 - ₹789,4.0,144 reviews
8.0,Aalibhais thattukada,Kozhikode,9.0,10.0,1.0,"Indian, Seafood, Asian, Diner",₹60 - ₹9000,4.0,87 reviews
2.0,Zains Restaurant,Kozhikode,3.0,4.0,5.0,"Indian, Asian",₹100 - ₹3456,4.0,128 reviews
6.0,Keraleeyam at Raviz Kadavu,Kozhikode,7.0,8.0,9.0,10.0,₹20 - ₹578,4.0,85 reviews
1.0,Kingsbay,Kozhikode,2.0,3.0,4.0,"Indian, Seafood, Asian, International",₹40 - ₹908,4.0,288 reviews
5.0,Bombay Restaurant,Kozhikode,6.0,7.0,8.0,"Indian, Asian",₹50 - ₹789,4.0,158 reviews
9.0,"White House, The Restaurant",Kozhikode,10.0,1.0,2.0,"Indian, Asian",₹20 - ₹345,4.5,118 reviews
3.0,Zirkon Lounge & Bar,Kozhikode,4.0,5.0,6.0,"₹400 - ₹2,000",₹90 - ₹300,5.0,49 reviews
7.0,Mezban Restaurant,Kozhikode,8.0,"https://maps.google.com/maps?saddr=&daddr=Mavoor+Road+Calicut%2C+Kozhikode+673004+India@11.259115,75.78876",https://www.facebook.com/MezbanRestaurant,"Indian, Seafood, International, Asian, Fusion",₹890 - ₹9000,4.0,250 reviews
9.0,Hotel Rahmath,Kozhikode,10.0,"https://maps.google.com/maps?saddr=&daddr=KP+Kesava+Menon+Road+Near+Mathrubhumi%2C+Kozhikode+India@11.251725,75.77913",http://hotelrahmath.business.site/,"Indian, Asian",₹30 - ₹6788,4.5,264 reviews
1.0,M-Grill,Kozhikode,2.0,"https://maps.google.com/maps?saddr=&daddr=Rajaji+Road+3rd+Floor%2C+Focus+Mall%2C+Kozhikode+India@11.25863,75.78535",https://www.facebook.com/mgrillrestaurant,"Indian, Asian",₹50 - ₹900,4.5,336 reviews
3.0,Hotel Paragon Restaurant,Kozhikode,4.0,5.0,6.0,"Indian, Seafood, Asian",₹900 - ₹3000,4.5,"1,175 reviews"
7.0,Keraleeyam Calicut,Kozhikode,8.0,"https://maps.google.com/maps?saddr=&daddr=5%2F3410+Mavoor+Road+Raviz+Calicut%2C+Arayidathupalam%2C+Kozhikode+673004+India@11.260025,75.78831",http://theraviz.com/raviz-calicut-dining.php,"₹500 - ₹1,000",₹940 - ₹1456,5.0,184 reviews
9.0,"Wok Sticks, Kottayam",Kottayam,"Kanjikuzhi, Kottayam 686018 India",https://maps.google.com/maps?saddr=&daddr=Kanjikuzhi%2C+Kottayam+686018+India,10.0,Chinese,₹700 - ₹900,4.5,3 reviews
1.0,Hotel Sri Aariyaas,Kottayam,"Baker Junction, Kottayam 686001 India",https://maps.google.com/maps?saddr=&daddr=Baker+Junction%2C+Kottayam+686001+India,2.0,"Breakfast, Lunch, Dinner, Brunch",₹1007 - ₹3000,3.5,15 reviews
3.0,Sivaganga Family Restaurant,Kottayam,"Sunset Point, Cheepunkal, Kumarakom 686563 India","https://maps.google.com/maps?saddr=&daddr=Sunset+Point%2C+Cheepunkal%2C+Kumarakom+686563+India@9.64322,76.419525",https://www.facebook.com/Sivaganga-Family-Restaurant-1283527541747685/,Indian,4.0,4.5,3 reviews
5.0,Kilikkoodu Toddy Shop,Kottayam,"Kumarakom- Cumbam Road, Kumarakom 686563 India","https://maps.google.com/maps?saddr=&daddr=Kumarakom-+Cumbam+Road%2C+Kumarakom+686563+India@9.618083,76.43184",6.0,"Lunch,Chinese, Indian, Seafood, Barbecue, Asian",7.0,3.5,25 reviews
8.0,Rolld'out,Kottayam,"Devalokam Road Kanjikuzhy, Kottayam India",https://maps.google.com/maps?saddr=&daddr=Devalokam+Road+Kanjikuzhy%2C+Kottayam+India,9.0,"Breakfast, Lunch, Dinner",10.0,4.5,4 reviews
1.0,The Cafe Resort,Kottayam,"Challiyil Road, Kottayam 686001 India","https://maps.google.com/maps?saddr=&daddr=Challiyil+Road%2C+Kottayam+686001+India@9.58769,76.52339",2.0,"Chinese, Indian, Canadian, Arabic",₹40 - ₹275,4.0,6 reviews
3.0,Sunstar Garden Family Restaurant,Kottayam,"Oorasala-Olikkandam Road Near Chavara School Pala, Kottayam 686575 India","https://maps.google.com/maps?saddr=&daddr=Oorasala-Olikkandam+Road+Near+Chavara+School+Pala%2C+Kottayam+686575+India@9.70552,76.66655",http://www.sunstarresidencypala.com/,"Chinese, Indian, Italian","₹14 - ₹1,000",4.0,6 reviews
4.0,Eat And  Drink,Kottayam,"Palathra, Vazhapally P.O, Changanacherry 686103 India","https://maps.google.com/maps?saddr=&daddr=Palathra%2C+Vazhapally+P.O%2C+Changanacherry+686103+India@9.464236,76.53037",http://eatanddrink-restaurant.business.site/?utm_source=gmb&utm_medium=referral,"Lunch, Dinner",5.0,5.0,2 reviews
6.0,Salkara Bakery & Vegetarian Restaurant,Kottayam,"Temple Rd, Kottayam 686631 India","https://maps.google.com/maps?saddr=&daddr=Temple+Rd%2C+Kottayam+686631+India@9.59033,76.52057",7.0,"Chinese, Indian",8.0,4.5,6 reviews
9.0,Green Trees Drive in Resturant,Kottayam,"National Highway 220 Vazhoor, Kottayam 686001 India","https://maps.google.com/maps?saddr=&daddr=National+Highway+220+Vazhoor%2C+Kottayam+686001+India@9.56466,76.69697",https://www.facebook.com/greentreesdriveinrestaurantNH220,"Chinese, Indian",10.0,4.5,7 reviews
1.0,Cosmo Restaurant,Kottayam,"CSI Square Building, Sastri Road, Kottayam 686001 India","https://maps.google.com/maps?saddr=&daddr=CSI+Square+Building%2C+Sastri+Road%2C+Kottayam+686001+India@9.59158,76.53201",2.0,3.0,4.0,4.0,9 reviews
5.0,Tandoor Restaurant,Kottayam,"Main Central Road Opposite Kalpaka Super Market, Kottayam 686001 India",https://maps.google.com/maps?saddr=&daddr=Main+Central+Road+Opposite+Kalpaka+Super+Market%2C+Kottayam+686001+India,6.0,"Lunch, Dinner",₹20 - ₹600,4.0,14 reviews
7.0,Navarathna Restaurant,Kottayam,"Pulinchuvadu Junction Aluva, Kochi (Cochin) 683101 India","https://maps.google.com/maps?saddr=&daddr=Pulinchuvadu+Junction+Aluva%2C+Kochi+%28Cochin%29+683101+India@9.62093,76.51658",8.0,Indian,9.0,4.5,6 reviews
10.0,Shalimar Restaurant,Kottayam,"MC Road Kodimatha, Kottayam 686001 India","https://maps.google.com/maps?saddr=&daddr=MC+Road+Kodimatha%2C+Kottayam+686001+India@9.580769,76.52056",http://www.facebook.com/shalimar399,"Breakfast, Lunch, Dinner",1.0,4.0,21 reviews
2.0,Currymeen,Kottayam,"1/404, Kumarakom, Vivanta by Taj, Kottayam 686566 India","https://maps.google.com/maps?saddr=&daddr=1%2F404%2C+Kumarakom%2C+Vivanta+by+Taj%2C+Kottayam+686566+India@9.626528,76.42814",https://vivanta.tajhotels.com/en-in/kumarakom-kerala/restaurants/currymeen-restaurant/,International,₹20 - ₹6000,4.5,7 reviews
3.0,Ente Amma Vegetarian Restaurant,Kottayam,"Opp. Matha Hospital Sh 1, Thellakom, Kerala, Ettumanoor 686630 India","https://maps.google.com/maps?saddr=&daddr=Opp.+Matha+Hospital+Sh+1%2C+Thellakom%2C+Kerala%2C+Ettumanoor+686630+India@9.648432,76.54961",http://www.instagram.com/ente_amma_veg_restaurant/?hl=en,"Indian, Healthy",4.0,4.5,4 reviews
5.0,Adens Motel,Kottayam,"Main Central Road, Changanacherry 686101 India","https://maps.google.com/maps?saddr=&daddr=Main+Central+Road%2C+Changanacherry+686101+India@9.45241,76.53682",6.0,"Lunch, Dinner",7.0,4.0,13 reviews
8.0,Theos Restaurant,Kottayam,"M C Road Aida Junction, Kottayam 686001 India","https://maps.google.com/maps?saddr=&daddr=M+C+Road+Aida+Junction%2C+Kottayam+686001+India@9.59573,76.52311",http://www.hotelaida.in/best-restaurants-kottayam/,"Indian, Chinese, Asian","₹16,626 - ₹41,566",3.5,24 reviews
9.0,Kingdom of Kebab,Kottayam,"Kottayam-Kumily Rd. Opposite Kottayam Collectorate, Kottayam 6896002 India","https://maps.google.com/maps?saddr=&daddr=Kottayam-Kumily+Rd.+Opposite+Kottayam+Collectorate%2C+Kottayam+6896002+India@9.5927,76.52207",https://www.facebook.com/Kingdom-Of-Kebab-KOK-1500982963541816/,"Indian, Asian",10.0,4.5,6 reviews
